,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,21,2,2,17,8,12,34,-22,20,20
1,Huddersfield_18_19,21,2,4,15,10,13,37,-24,20,20
2,Swansea City_17_18,21,4,4,13,16,13,32,-19,20,18
3,Burnley_20_21,21,6,4,11,22,13,28,-15,16,17
4,West Brom_17_18,21,2,10,9,16,15,28,-13,19,20
5,Newcastle Utd_18_19,21,4,6,11,18,15,29,-14,15,13
6,Brighton_17_18,21,5,7,9,22,15,25,-10,12,15
7,West Brom_20_21,21,2,6,13,12,17,50,-33,19,19
8,Fulham_20_21,21,2,8,11,14,17,31,-14,18,18
9,Watford_19_20,21,4,7,10,19,17,34,-17,19,19
