,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,32,4,2,26,14,17,56,-39,20,20
1,Huddersfield_18_19,32,3,5,24,14,18,59,-41,20,20
2,Middlesbrough_16_17,32,4,12,16,24,23,39,-16,19,19
3,Fulham_20_21,32,5,11,16,26,24,42,-18,18,18
4,West Brom_17_18,32,3,11,18,20,25,51,-26,20,20
5,Norwich City_19_20,32,5,6,21,21,25,60,-35,20,20
6,Huddersfield_17_18,32,8,7,17,31,25,53,-28,16,16
7,Sunderland_16_17,32,5,6,21,21,26,58,-32,20,20
8,Swansea City_17_18,32,8,8,16,32,26,45,-19,15,18
9,Burnley_20_21,32,8,9,15,33,26,45,-19,17,17
