,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,28,3,5,20,14,15,50,-35,20,20
1,Sheffield Utd_20_21,28,4,2,22,14,16,45,-29,20,20
2,West Brom_20_21,28,3,9,16,18,20,56,-36,19,19
3,Middlesbrough_16_17,28,4,10,14,22,20,33,-13,19,19
4,Burnley_20_21,28,7,9,12,30,20,36,-16,15,17
5,Swansea City_17_18,28,7,6,15,27,21,41,-20,18,18
6,West Brom_17_18,28,3,11,14,20,22,42,-20,20,20
7,Fulham_20_21,28,5,11,12,26,22,33,-11,18,18
8,Burnley_17_18,28,9,10,9,37,22,25,-3,7,7
9,Sunderland_16_17,28,5,5,18,20,24,50,-26,20,20
