,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,26,2,5,19,11,14,48,-34,20,20
1,Sheffield Utd_20_21,26,3,2,21,11,15,43,-28,20,20
2,Burnley_20_21,26,7,7,12,28,18,34,-16,15,17
3,Middlesbrough_16_17,26,4,10,12,22,19,28,-9,17,19
4,Huddersfield_17_18,26,6,6,14,24,19,46,-27,19,16
5,Swansea City_17_18,26,6,6,14,24,19,37,-18,17,18
6,West Brom_20_21,26,3,8,15,17,20,55,-35,19,19
7,West Brom_17_18,26,3,11,12,20,21,37,-16,20,20
8,Fulham_20_21,26,4,11,11,23,21,32,-11,18,18
9,Brighton_17_18,26,6,9,11,27,21,35,-14,12,15
