,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,30,3,5,22,14,15,53,-38,20,20
1,Sheffield Utd_20_21,30,4,2,24,14,17,52,-35,20,20
2,Middlesbrough_16_17,30,4,11,15,23,22,37,-15,19,19
3,West Brom_17_18,30,3,11,16,20,23,47,-24,20,20
4,Fulham_20_21,30,5,11,14,26,23,38,-15,18,18
5,Sunderland_16_17,30,5,5,20,20,24,53,-29,20,20
6,Burnley_20_21,30,8,9,13,33,24,40,-16,15,17
7,West Brom_20_21,30,4,9,17,21,25,59,-34,19,19
8,Norwich City_19_20,30,5,6,19,21,25,55,-30,20,20
9,Huddersfield_17_18,30,8,7,15,31,25,50,-25,15,16
