,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,37,6,2,29,20,19,63,-44,20,20
1,Huddersfield_18_19,37,3,6,28,15,21,75,-54,20,20
2,Norwich City_19_20,37,5,6,26,21,26,70,-44,20,20
3,Fulham_20_21,37,5,13,19,28,27,51,-24,18,18
4,Middlesbrough_16_17,37,5,13,19,28,27,50,-23,19,19
5,Swansea City_17_18,37,8,9,20,33,27,54,-27,18,18
6,Sunderland_16_17,37,6,6,25,24,28,64,-36,20,20
7,Huddersfield_17_18,37,9,10,18,37,28,57,-29,16,16
8,Crystal Palace_19_20,37,11,9,17,42,30,49,-19,14,14
9,West Brom_17_18,37,6,13,18,31,31,54,-23,19,20
