,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,12,0,1,11,1,5,21,-16,20,20
1,Crystal Palace_17_18,12,1,2,9,5,6,24,-18,20,11
2,Huddersfield_18_19,12,1,4,7,7,6,22,-16,19,20
3,Burnley_20_21,12,2,4,6,10,6,18,-12,17,17
4,Swansea City_17_18,12,2,2,8,8,7,15,-8,19,18
5,Watford_19_20,12,1,5,6,8,8,23,-15,18,19
6,Southampton_18_19,12,1,5,6,8,8,21,-13,17,16
7,Crystal Palace_18_19,12,2,2,8,8,8,17,-9,16,12
8,Huddersfield_17_18,12,4,3,5,15,8,17,-9,10,16
9,West Brom_20_21,12,1,3,8,6,9,25,-16,19,19
