,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,29,3,5,21,14,15,51,-36,20,20
1,Sheffield Utd_20_21,29,4,2,23,14,16,50,-34,20,20
2,West Brom_20_21,29,3,9,17,18,20,57,-37,19,19
3,Middlesbrough_16_17,29,4,11,14,23,20,33,-13,19,19
4,West Brom_17_18,29,3,11,15,20,22,43,-21,20,20
5,Fulham_20_21,29,5,11,13,26,22,36,-14,18,18
6,Burnley_20_21,29,8,9,12,33,22,37,-15,14,17
7,Sunderland_16_17,29,5,5,19,20,24,51,-27,20,20
8,Burnley_17_18,29,10,10,9,40,24,26,-2,7,7
9,Norwich City_19_20,29,5,6,18,21,25,52,-27,20,20
